stage,task_id,task_type,model_pool,condition,sICMw,fICMw,structural_gap
pilot,T04,low_ambiguity_control,Wanx+CogView,A,0.942,0.930,0.012
pilot,T04,low_ambiguity_control,Wanx+CogView,C,1.000,0.935,0.065
pilot,T04,low_ambiguity_control,Wanx+CogView,D,1.000,0.937,0.063
pilot,T05,high_ambiguity_high_gain,Wanx+CogView,A,0.767,0.457,0.310
pilot,T05,high_ambiguity_high_gain,Wanx+CogView,C,0.994,0.984,0.010
pilot,T05,high_ambiguity_high_gain,Wanx+CogView,D,0.995,0.978,0.017
pilot,T08,complexity_limit_candidate,Wanx+CogView,A,0.863,0.738,0.125
pilot,T08,complexity_limit_candidate,Wanx+CogView,C,1.000,0.773,0.227
pilot,T08,complexity_limit_candidate,Wanx+CogView,D,0.984,0.761,0.223
pilot,T10,high_complexity_standard,Wanx+CogView,A,0.927,0.781,0.146
pilot,T10,high_complexity_standard,Wanx+CogView,C,0.949,0.863,0.086
pilot,T10,high_complexity_standard,Wanx+CogView,D,0.943,0.858,0.085
pilot,T11,low_ambiguity_control,Wanx+CogView,A,0.987,0.984,0.003
pilot,T11,low_ambiguity_control,Wanx+CogView,C,0.984,0.981,0.003
pilot,T11,low_ambiguity_control,Wanx+CogView,D,0.981,0.979,0.002
pilot,T12,mid_complexity_bridge,Wanx+CogView,A,0.963,0.933,0.030
pilot,T12,mid_complexity_bridge,Wanx+CogView,C,0.988,0.957,0.031
pilot,T12,mid_complexity_bridge,Wanx+CogView,D,0.983,0.952,0.031
